Index,Company,Product,TypeName,Inches,OpSys,Price_euros,SSD_Memory_GB,HDD_Memory_GB,Weight_kg,Ram_GB,ScreenResolution_px,Cpu_Type,Cpu_Frequency_GHz,Gpu_Type
1,Apple,MacBook Pro,Ultrabook,13.3,macOS,1339.69,128,0,1.37,8,2560x1600,Intel Core,2.3,Intel Iris
3,HP,250 G6,Notebook,15.6,No OS,575.0,256,0,1.86,8,1920x1080,Intel Core,2.5,Intel HD
4,Apple,MacBook Pro,Ultrabook,15.4,macOS,2537.45,512,0,1.83,16,2880x1800,Intel Core,2.7,AMD Radeon
5,Apple,MacBook Pro,Ultrabook,13.3,macOS,1803.6,256,0,1.37,8,2560x1600,Intel Core,3.1,Intel Iris
6,Acer,Aspire 3,Notebook,15.6,Windows 10,400.0,0,500,2.1,4,1366x768,AMD A9-Series,3,AMD Radeon
9,Asus,ZenBook UX430UN,Ultrabook,14.0,Windows 10,1495.0,512,0,1.3,16,1920x1080,Intel Core,1.8,Nvidia GeForce
10,Acer,Swift 3,Ultrabook,14.0,Windows 10,770.0,256,0,1.6,8,1920x1080,Intel Core,1.6,Intel UHD
11,HP,250 G6,Notebook,15.6,No OS,393.9,0,500,1.86,4,1366x768,Intel Core,2.5,Intel HD
12,HP,250 G6,Notebook,15.6,No OS,344.99,0,500,1.86,4,1920x1080,Intel Core,2,Intel HD
13,Apple,MacBook Pro,Ultrabook,15.4,macOS,2439.97,256,0,1.83,16,2880x1800,Intel Core,2.8,AMD Radeon
14,Dell,Inspiron 3567,Notebook,15.6,Windows 10,498.9,256,0,2.2,4,1920x1080,Intel Core,2,AMD Radeon
15,Apple,"MacBook 12""",Ultrabook,12.0,macOS,1262.4,256,0,0.92,8,2304x1440,Intel Core,1.2,Intel HD
16,Apple,MacBook Pro,Ultrabook,13.3,macOS,1518.55,256,0,1.37,8,2560x1600,Intel Core,2.3,Intel Iris
17,Dell,Inspiron 3567,Notebook,15.6,Windows 10,745.0,256,0,2.2,8,1920x1080,Intel Core,2.7,AMD Radeon
18,Apple,MacBook Pro,Ultrabook,15.4,macOS,2858.0,512,0,1.83,16,2880x1800,Intel Core,2.9,AMD Radeon
19,Lenovo,IdeaPad 320-15IKB,Notebook,15.6,No OS,499.0,0,1024.0,2.2,8,1920x1080,Intel Core,2.4,Nvidia GeForce
20,Dell,XPS 13,Ultrabook,13.3,Windows 10,979.0,128,0,1.22,8,1920x1080,Intel Core,1.6,Intel UHD
22,Lenovo,Legion Y520-15IKBN,Gaming,15.6,Windows 10,999.0,128,1024.0,2.5,8,1920x1080,Intel Core,2.5,Nvidia GeForce
23,HP,255 G6,Notebook,15.6,No OS,258.0,0,500,1.86,4,1366x768,AMD E-Series,1.5,AMD Radeon
24,Dell,Inspiron 5379,2 in 1 Convertible,13.3,Windows 10,819.0,256,0,1.62,8,1920x1080,Intel Core,1.6,Intel UHD
25,HP,15-BS101nv (i7-8550U/8GB/256GB/FHD/W10),Ultrabook,15.6,Windows 10,659.0,256,0,1.91,8,1920x1080,Intel Core,1.8,Intel HD
26,Dell,Inspiron 3567,Notebook,15.6,Windows 10,418.64,0,1024.0,2.3,4,1366x768,Intel Core,2,Intel HD
28,Dell,Inspiron 5570,Notebook,15.6,Windows 10,800.0,256,0,2.2,8,1920x1080,Intel Core,1.6,AMD Radeon
29,Dell,Latitude 5590,Ultrabook,15.6,Windows 10,1298.0,256,256,1.88,8,1920x1080,Intel Core,1.9,Intel UHD
30,HP,ProBook 470,Notebook,17.3,Windows 10,896.0,0,1024.0,2.5,8,1920x1080,Intel Core,1.6,Nvidia GeForce
